Date,Description,Amount,Debit,Credit,Balance,Category,Account,Confidence,Is_UPI,Payee,UPI_Transaction_Type,UPI_Sender_Bank,UPI_Reference,UPI_Transaction_ID
03-04-2024,Transaction/dunzodigital.pa/ICICI,-99.0,99.0,0.0,,food,Expenses:Food:Restaurant,0.2,False,,,,,
03-04-2024,BANK,-750.0,750.0,0.0,,unknown,Expenses:Uncategorized,0.0,False,,,,,
03-04-2024,Bank Ltd/ICI2edcf5792677466fa5be336f13d21b26/,-418.02,418.02,0.0,,unknown,Expenses:Uncategorized,0.0,False,,,,,
04-04-2024,1156173000002937-KVBL0002101,5000.0,0.0,5000.0,,salary,Income:Salary,0.3,False,,,,,
04-04-2024,Ltd/ICIf96bb3b084ba432d97db885fba826b04/,-120.0,120.0,0.0,,unknown,Expenses:Uncategorized,0.0,False,,,,,
04-04-2024,Bank Of I/ICIbabd45a6fdd546048ca80c774c89f8a2/,-100.0,100.0,0.0,,investment,Expenses:Investment,0.8,False,,,,,
04-04-2024,Ltd/ICI6d422dcfd64a41d9b93b9b58ce2aa30b/,-536.0,536.0,0.0,,investment,Expenses:Investment,0.8,False,,,,,
04-04-2024,Ltd/ICI40491616d5204aedb453bdd64b00dfe9/,-60.0,60.0,0.0,,food,Expenses:Food:Restaurant,0.2,False,,,,,
04-04-2024,BharatPe/bharatpe.900678/Federal,-60.0,60.0,0.0,,food,Expenses:Food:Restaurant,0.2,True,BharatPe,bharatpe.900678,Federal,,
05-04-2024,Overseas/ICI134ccabd039b47d08c20eff93527896b/,-80.0,80.0,0.0,,food,Expenses:Food:Restaurant,0.2,False,,,,,
05-04-2024,b/ICICI,-219.0,219.0,0.0,,unknown,Expenses:Uncategorized,0.0,False,,,,,
05-04-2024,To RD Ac no 218625002611,-5000.0,5000.0,0.0,,shopping,Expenses:Shopping,0.3,False,,,,,
06-04-2024,BANK LTD/ICId46fd8305dfc45aaaf978c8119660d97/,-500.0,500.0,0.0,,investment,Expenses:Investment,0.8,False,,,,,
06-04-2024,Mandate/appleservices.b/HDFCBANK,-99.0,99.0,0.0,,food,Expenses:Food:Restaurant,0.2,False,,,,,
06-04-2024,Ltd./ICIe2eebfa5533d45ba8404fb55a6bd2ea0/,-31000.0,31000.0,0.0,,shopping,Expenses:Shopping,0.3,False,,,,,
06-04-2024,National/ICI46d2d41d54e1445aa4b74bfe134b950e/,-350.0,350.0,0.0,,unknown,Expenses:Uncategorized,0.0,False,,,,,
06-04-2024,Ltd/ICI68e9152ae53f442c8f4e04ce1c318871/,-450.0,450.0,0.0,,unknown,Expenses:Uncategorized,0.0,False,,,,,
06-04-2024,Private /ICIf366f24a60e34f909f99232212cb4f67/,-150.0,150.0,0.0,,unknown,Expenses:Uncategorized,0.0,False,,,,,
06-04-2024,Ltd/ICI1a9f4daf1c89471daeb096956642138a/,-60.0,60.0,0.0,,food,Expenses:Food:Restaurant,0.2,False,,,,,
06-04-2024,National/ICIadaeee888e4049e0bf912b133f107aa2/,-120.0,120.0,0.0,,unknown,Expenses:Uncategorized,0.0,False,,,,,
06-04-2024,BharatPe/bharatpe.900664/Federal,-200.0,200.0,0.0,,unknown,Expenses:Uncategorized,0.0,True,BharatPe,bharatpe.900664,Federal,,
08-04-2024,BankLtd/PTMd61745da19e44680affece23e76cac91,1070.28,0.0,1070.28,,salary,Income:Salary,0.3,False,,,,,
08-04-2024,Of I/ICI5ad70db31cf24e189bc8bd6a03c94e2a/,-200.0,200.0,0.0,,unknown,Expenses:Uncategorized,0.0,False,,,,,
08-04-2024,Of I/ICI393672b947524b6e9f95ce64b9d817fc/,-200.0,200.0,0.0,,unknown,Expenses:Uncategorized,0.0,False,,,,,
08-04-2024,Of I/ICI93a0fc4429094b0ea217bb3faa2bd49c/,-120.0,120.0,0.0,,unknown,Expenses:Uncategorized,0.0,False,,,,,
08-04-2024,PIN/cmrlsteteynampe/Yes Bank,-30.0,30.0,0.0,,food,Expenses:Food:Restaurant,0.2,True,cmrlsteteynampe,,Yes Bank,,
